link,category,class,subclass,text
https://www.youtube.com/@HMBB8888/videos,影视,,,"饱饱追剧 
短剧整合"
https://www.youtube.com/@Superman049,游戏实况,格斗,mk,super
https://www.youtube.com/@godsteammate/videos,有益,时政点评,单口,"台湾 查理 
右派自由"
https://www.youtube.com/@rusiru87time/videos,新游试玩,,,"阿路的精神時光屋 
40min一款"
https://www.youtube.com/@pfytw/videos,游戏实况,完整,,"狐狸头🦊 
经常开新游新坑"
https://www.youtube.com/@cherry_official/videos,悠闲轻松,测评,,"大狸子切切里 
科技测评"
https://www.youtube.com/@miaoxinGG/videos,游戏实况,杂,,"喵心GG 
(啥都有 七日杀类多一些)"
https://www.youtube.com/@%E4%B8%AD%E6%8C%87%E9%80%9A/videos,hehe,,,中指通
https://www.youtube.com/@shenchuochuo/videos,新游试玩,恐怖猎奇,,神戳戳的苏神
https://www.youtube.com/@Iorimoe-tanoshi,hehe,美女,,伊織萌
https://www.youtube.com/@fallontonight/videos,有益,访谈,,"The Tonight Show jimmy 
都是短的"
https://www.youtube.com/@StarDanceShop/videos,有益,国标,,中国国标搬运
https://www.youtube.com/@LondonRealTV/videos,有益,访谈,,科技类 10min左右
https://www.youtube.com/@jubilee/videos,有益,访谈,,大讨论 围圆圈坐一起
https://www.youtube.com/@kurzgesagt/videos,有益,科普,,画风可爱 各类科普
https://www.youtube.com/@tested/videos,有益,工科,机械,手工老头
https://www.youtube.com/@EgilsSmagris,有益,国标,教学,国标 欧洲老头
https://www.youtube.com/@DanceToday/videos,有益,国标,教学,国标 拉丁 专业赛事
https://www.youtube.com/@tree2793/videos,漫画/小说,恐怖猎奇,,黑白漫画解说
https://www.youtube.com/@TheKingofRandom/videos,有益,工科,,diy project + 实验
https://www.youtube.com/@numberphile/videos,有益,理科,数学,"Numberphile 
15min 数学 "
https://www.youtube.com/@StealthyChannel/videos,游戏实况,完整,,完美蝙蝠侠
https://www.youtube.com/@NecrosOW/videos,游戏实况,第三人称射击,,"Necros
漫威争锋 蜘蛛侠"
https://www.youtube.com/@SonicFox5000/videos,游戏实况,格斗,mk,"SonicFox
电竞高手"
https://www.youtube.com/@DanceInsanity/videos,有益,国标,,"拉丁 couple
创意多变basic"
https://www.youtube.com/@Eunjipyo,hehe,美女,,표은지Eunji
https://www.youtube.com/@EugeneKhutoryansky/videos,有益,理科,,3d 动画! 物理
https://www.youtube.com/@SCP/videos,scp/怪谈,,,类火柴人可爱画风
 https://www.youtube.com/@BBKNetwork/videos,有益,文科,哲学,"马来西亚  辩论辩题
30-50min 左右"
https://www.youtube.com/@AshanKouki/videos,游戏实况,杂,,悠闲 + 恐怖(小小梦魇)
https://www.youtube.com/@miaodong/videos,有益,科普,,短视频 深入浅出!
https://www.youtube.com/@3blue1brown/videos,有益,理科,数学,"3b1b 
youtube"
https://www.youtube.com/@bobafett22005/videos,影视,定格动画,机器鸡,各类合订本
https://www.youtube.com/@panscischool/videos,有益,AI,,资讯+ 教程
https://www.youtube.com/@HungyiLeeNTU/videos,有益,AI,课程,李宏毅
https://www.youtube.com/@PezzzasWork/videos,悠闲轻松,AI,训练,"Pezzza's Work
物理模拟类"
https://www.youtube.com/@Tim-Huang91/videos,hehe,攻略,,小黃Tim-Huang
https://www.youtube.com/@xnzxnz/videos,悠闲轻松,测评,,"小宁子
科技设备 + 游戏"
https://www.youtube.com/@modernfoos/videos,体育赛事,,,桌上足球
https://www.youtube.com/@4K%E6%9E%81%E9%99%90%E7%94%BB%E8%B4%A8/videos,影视,画质,战锤 / 其他游戏动画,4k 剧情
https://www.youtube.com/@DungeonSoup,影视,恐怖猎奇,,掉san画风 二次元
https://www.youtube.com/@RelaxationFilm,专注音乐/视频当背景版,画质,,4k 自然风景
https://www.youtube.com/@8KWorld/videos,影视,画质,,8k 城市
https://www.youtube.com/@4kfilmsbyadnan/videos,专注音乐/视频当背景版,画质,,4k 城市
https://www.youtube.com/@PartiallyRoyal/videos,游戏实况,画质,生存类,PartiallyRoyal
https://www.youtube.com/@theRadBrad/videos,游戏实况,画质,3a大作,theRadBrad
https://space.bilibili.com/266765166,有益,理科,,"漫士沉思录
生动的动画 数学、物理、计算机"
https://www.youtube.com/@Yuniko0720VOD/videos,游戏实况,杂,,小熊Yuniko
https://www.youtube.com/@DanceTech-Learn-Review,有益,国标,,中国国标搬运2
https://www.youtube.com/@rlboothco/videos,有益,国标,,"Richard Booth
比赛标准routine"
https://www.youtube.com/@pua7194/videos,hehe,技巧,,"7年前
泡学"
https://www.youtube.com/@Mathologer/videos,有益,理科,数学,墨尔本莫纳什大学数学教授
https://www.youtube.com/@AllXEnglish/videos,有益,英语,,"AllXEnglish
辩论 / 演讲 切片"
https://www.youtube.com/@KWONEUNBI/videos,hehe,美女,,권은비 KWON EUNBI
https://space.bilibili.com/381678450,漫画/小说,动态,,"大冰动态漫
停更"
https://space.bilibili.com/50001728/upload/video,游戏实况,火影手游,,赵小天
https://space.bilibili.com/1550137https://space.bilibili.com/6888296/upload/video,游戏综合,整活,火影手游/究极风暴,新技能 / 各类人物xxx场景
https://www.youtube.com/@Prof.Terraria/videos,游戏实况,完整,泰拉瑞亚,A教授
https://space.bilibili.com/72261633/lists/937981?type=season,游戏实况,完整,单独合集,"饥饿与恐惧
黑暗世界 断肢系统 绝望"
https://www.youtube.com/@BrickTechnology/videos,有益,工科,机械,乐高
https://www.bilibili.com/video/BV1kx411E7b8/?vd_source=15173c99aced81f348af55708bc963e3,影视,长剧情游戏,感人,去月球 to the moon
https://www.youtube.com/@Kastaclysm/videos,游戏实况,完整,美女,偏剧情向 3a
https://space.bilibili.com/25971006,专注音乐/视频当背景版,,,高质量写实动漫
https://space.bilibili.com/1543323047/upload/video,悠闲轻松,电子榨菜,躲猫猫,躲猫猫 搬运切片
https://space.bilibili.com/8012953/upload/video,游戏实况,完整,,"古风/仙侠/武侠
经常开新游新坑"
https://www.youtube.com/watch?v=OinC_Mrn5Rc,影视,电影,,《艾爾登法環》電影版
https://space.bilibili.com/72261633/lists/937981?type=season,游戏实况,完整,单独合集,饥饿与恐惧2
